Desempleo,Mujer,EdadJun24,roa,tep_descripcion_clean,SinEduc,Primaria,Secundaria,Superior,apo_salario,Antiguedad,Nivel_Educacion,Genero
1,0,39,3.20061,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,1,0,0,466.0,63,Primaria,Hombre
1,1,37,0.0,EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA,0,0,1,0,460.0,0,Secundaria,Mujer
0,0,39,1.5833268,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,691.0,6,Secundaria,Hombre
1,0,33,0.0,EMPRESA UNIPERSONAL /  PEQUEÑA INDUSTRIA,0,0,1,0,460.0,40,Secundaria,Hombre
0,0,26,7.2023044,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,460.0,60,Secundaria,Hombre
1,1,24,1.5833268,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,460.0,18,Secundaria,Mujer
1,1,36,5.393399,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,460.0,11,Superior,Mujer
1,0,59,0.0,ENTIDADES PÚBLICAS DE EDUCACIÓN SUPERIOR,0,0,0,1,856.0,153,Superior,Hombre
0,1,29,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,1,0,540.0,9,Secundaria,Mujer
0,0,28,0.8340756,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,550.0,32,Superior,Hombre
1,0,29,2.8895535,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,465.0,2,Secundaria,Hombre
1,1,50,0.0,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,0,1,460.0,16,Superior,Mujer
1,0,61,0.0,ENTIDADES PUBLICAS CON AUTONOMIA,0,0,0,1,1338.0,161,Superior,Hombre
0,0,39,0.0,"FUNCION EJECUTIVA, LEGISL, JUDICIAL Y ORGANISMOS DEL ESTADO",0,0,0,1,1676.0,118,Superior,Hombre
0,0,33,5.4873505,EMPRESA PRIVADA -SOCIEDADES / COMPANIAS,0,0,1,0,468.0,12,Secundaria,Hombre
